,SUBTFA,SYSTEMID,DEVICE NUMBER,DEVICE DESCRIPTION,DEVICE SERIAL NUMER,SITE,WORK ORDER NUMBER,WORK ORDER DESCRIPTION,WORK ORDER PRIORITY DESCRIPTION,WOTYPE_DESCRIPTION,FUNCTIONAL LOCATION DRILL DOWN,FUNCTIONAL LOCATION DESCRIPTION,PROBLEMREPORTED,ACTIONCOMPLETED,TIME TO RETURN (Days.% of 24hrs),LOT YEAR,AFFECTED PART UNIQUE IDENTIFIER,AFFECTED PART NUMBER,AFFECTED PART NAME,AFFECTED PART SERIAL NUMBER,MAINTENANCE ACTION,NUMPARTSFROMSTOREROOM,NUMPARTSFROMPO,DATE SENT TO VENDOR,DATE RECEIVED FROM VENDOR,REPAIR PART OWNERSHIP,REPAIR PART NUMBER,REPAIR PART NAME,REPAIR PART SERIAL NUMBER,REPAIR PART STOCKTYPE,REPAIR CATEGORY,REPAIR PART FARCODE,TOTAL WORK ORDER LABOR,LONG DESCRIPTION,Unnamed: 34
10,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947248,ISSUE NSTD PARTS TO FORT LWOOD,Exercise/Operational Support,Operational Support,NSTD-LWOOD,Ft Leonard Wood,2015-07-16 02:30:00.0000000,2015-07-16 03:30:00.0000000,0.0416,7,Not required for this type of Work Order,81B000-NSTD,"MODULE, CONTROL, IEI",Not required for this type of Work Order,Pulled from Storeroom,2,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,81B000-NSTD,"MODULE, CONTROL, IEI",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT LWOOD
11,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947248,ISSUE NSTD PARTS TO FORT LWOOD,Exercise/Operational Support,Operational Support,NSTD-LWOOD,Ft Leonard Wood,2015-07-16 02:30:00.0000000,2015-07-16 03:30:00.0000000,0.0416,7,Not required for this type of Work Order,186 NSTD,"CONNECTOR, KIT, WATERPROOF, IEP",Not required for this type of Work Order,Pulled from Storeroom,25,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,186 NSTD,"CONNECTOR, KIT, WATERPROOF, IEP",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT LWOOD
12,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947248,ISSUE NSTD PARTS TO FORT LWOOD,Exercise/Operational Support,Operational Support,NSTD-LWOOD,Ft Leonard Wood,2015-07-16 02:30:00.0000000,2015-07-16 03:30:00.0000000,0.0416,7,Not required for this type of Work Order,695996B-NSTD,"ASSY, TIMING BOX, NSTD, IEI",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,695996B-NSTD,"ASSY, TIMING BOX, NSTD, IEI",Serial Number Unknown,REPAIRABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT LWOOD
13,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947248,ISSUE NSTD PARTS TO FORT LWOOD,Exercise/Operational Support,Operational Support,NSTD-LWOOD,Ft Leonard Wood,2015-07-16 02:30:00.0000000,2015-07-16 03:30:00.0000000,0.0416,7,Not required for this type of Work Order,696072B,"CABLE AY, SPARK PLUG",Not required for this type of Work Order,Pulled from Storeroom,4,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696072B,"CABLE AY, SPARK PLUG",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT LWOOD
14,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947394,ISSUE NSTD PARTS TO FORT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-07-16 15:30:00.0000000,2015-07-16 16:30:00.0000000,0.0416,7,Not required for this type of Work Order,81B000-NSTD,"MODULE, CONTROL, IEI",Not required for this type of Work Order,Pulled from Storeroom,2,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,81B000-NSTD,"MODULE, CONTROL, IEI",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,Not required for this type of Work Order
15,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947394,ISSUE NSTD PARTS TO FORT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-07-16 15:30:00.0000000,2015-07-16 16:30:00.0000000,0.0416,7,Not required for this type of Work Order,696069B,"CABLE AY., TRIGGER",Not required for this type of Work Order,Pulled from Storeroom,4,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696069B,"CABLE AY., TRIGGER",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,Not required for this type of Work Order
16,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947394,ISSUE NSTD PARTS TO FORT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-07-16 15:30:00.0000000,2015-07-16 16:30:00.0000000,0.0416,7,Not required for this type of Work Order,695994B-3-NSTD,"BOARD, TIMING AND CONTROL, IEI",Not required for this type of Work Order,Pulled from Storeroom,3,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,695994B-3-NSTD,"BOARD, TIMING AND CONTROL, IEI",Serial Number Unknown,REPAIRABLE,Fair Wear and Tear,Government Furnished,1,Not required for this type of Work Order
17,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947403,ISSUE NSTD PARTS TO FORT DRUM,Exercise/Operational Support,Operational Support,NSTD-DRUM,Ft. Drum,2015-07-16 10:30:00.0000000,2015-07-16 11:00:00.0000000,0.0208,7,Not required for this type of Work Order,MS35489-27,"GROMMET, RUBBER, SKYGEEK",Not required for this type of Work Order,Pulled from Storeroom,10,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,MS35489-27,"GROMMET, RUBBER, SKYGEEK",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT DRUM
18,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947420,ISSUE NSTD PARTS TO FORT HOOD,Exercise/Operational Support,Operational Support,NSTD-HOOD,Ft. Hood,2015-07-16 01:30:00.0000000,2015-07-16 02:20:00.0000000,0.0347,7,Not required for this type of Work Order,696069B,"CABLE AY., TRIGGER",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696069B,"CABLE AY., TRIGGER",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT HOOD
19,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947424,ISSUE NSTD PARTS TO FORT DRUM,Exercise/Operational Support,Operational Support,NSTD-DRUM,Ft. Drum,2015-07-16 11:30:00.0000000,2015-07-16 12:30:00.0000000,0.0416,7,Not required for this type of Work Order,CC-8021,DUST CAP & CHAIN AY.,Not required for this type of Work Order,Pulled from Storeroom,4,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,CC-8021,DUST CAP & CHAIN AY.,Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABE NSTD PARTS TO FORT DRUM
20,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947424,ISSUE NSTD PARTS TO FORT DRUM,Exercise/Operational Support,Operational Support,NSTD-DRUM,Ft. Drum,2015-07-16 11:30:00.0000000,2015-07-16 12:30:00.0000000,0.0416,7,Not required for this type of Work Order,860000,"CABLE AY., PWR & TRIG.",Not required for this type of Work Order,Pulled from Storeroom,2,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,860000,"CABLE AY., PWR & TRIG.",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABE NSTD PARTS TO FORT DRUM
21,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947424,ISSUE NSTD PARTS TO FORT DRUM,Exercise/Operational Support,Operational Support,NSTD-DRUM,Ft. Drum,2015-07-16 11:30:00.0000000,2015-07-16 12:30:00.0000000,0.0416,7,Not required for this type of Work Order,CC-8020,DUST CAP & CHAIN ASSY,Not required for this type of Work Order,Pulled from Storeroom,7,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,CC-8020,DUST CAP & CHAIN ASSY,Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABE NSTD PARTS TO FORT DRUM
22,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6956691,ISSUE NSTD PARTS TO FORT LWOOD,Exercise/Operational Support,Operational Support,NSTD-LWOOD,Ft Leonard Wood,2015-07-23 08:00:00.0000000,2015-07-23 09:00:00.0000000,0.0416,7,Not required for this type of Work Order,ED-14,"SPARK PLUG, 550, 7/8"" GASKET 18MM, CHAMPION",Not required for this type of Work Order,Pulled from Storeroom,20,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,ED-14,SPARK PLUG,Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT LWOOD
23,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6963878,ISSUE NSTD PARTS TO FT BENNING,Exercise/Operational Support,Operational Support,NSTD-BENNING,Ft. Benning,2015-07-28 15:10:00.0000000,2015-07-28 16:10:00.0000000,0.0416,7,Not required for this type of Work Order,695996B-NSTD,"ASSY, TIMING BOX, NSTD, IEI",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,695996B-NSTD,"ASSY, TIMING BOX, NSTD, IEI",Serial Number Unknown,REPAIRABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FT BENNING
24,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6963878,ISSUE NSTD PARTS TO FT BENNING,Exercise/Operational Support,Operational Support,NSTD-BENNING,Ft. Benning,2015-07-28 15:10:00.0000000,2015-07-28 16:10:00.0000000,0.0416,7,Not required for this type of Work Order,696072B,"CABLE AY, SPARK PLUG",Not required for this type of Work Order,Pulled from Storeroom,7,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696072B,"CABLE AY, SPARK PLUG",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FT BENNING
25,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6963886,ISSUE NSTD PARTS TO FT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-07-28 15:17:00.0000000,2015-07-28 16:17:00.0000000,0.0416,7,Not required for this type of Work Order,696072B,"CABLE AY, SPARK PLUG",Not required for this type of Work Order,Pulled from Storeroom,3,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696072B,"CABLE AY, SPARK PLUG",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FT MCCOY
26,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6963886,ISSUE NSTD PARTS TO FT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-07-28 15:17:00.0000000,2015-07-28 16:17:00.0000000,0.0416,7,Not required for this type of Work Order,820003-NSTD,"REGULATOR, PROPANE, AIRGAS",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,820003-NSTD,"REGULATOR, PROPANE, AIRGAS",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FT MCCOY
27,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6963886,ISSUE NSTD PARTS TO FT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-07-28 15:17:00.0000000,2015-07-28 16:17:00.0000000,0.0416,7,Not required for this type of Work Order,819000,"CABLE AY., HARNESS",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,819000,"CABLE AY., HARNESS",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FT MCCOY
28,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6963886,ISSUE NSTD PARTS TO FT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-07-28 15:17:00.0000000,2015-07-28 16:17:00.0000000,0.0416,7,Not required for this type of Work Order,820004-NSTD,"VALVE ASSY, OXYGEN, AIRGAS",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,820004-NSTD,"VALVE ASSY, OXYGEN, AIRGAS",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FT MCCOY
29,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,"Ft Rucker, AL",6964324,REPAIR OF NSTD REGULATOR - PN:  820003-NSTD,Corrective Maintenance,Corrective COR,REPRCKRNSTD,"Fort Rucker, AL NSTD Repair Location",2015-07-29 00:00:00.0000000,2015-12-28 15:29:50.0000000,152.6451,7,Not applicable to Material Items,820003-NSTD,"REGULATOR, PROPANE, AIRGAS",Not required for Material items,Repaired at Bench,0,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,No parts issued from Inventory,No parts issued to workorder,No parts issued to workorder,No Parts Issued from Inventory,No Parts Issued from Inventory,Fair Wear and Tear,No Parts Issued from Inventory,1,"PLATFORM:  NSTD_x000D_
_x000D_
REC'D BAD PROPANE REGULATORS FROM SITES._x000D_
_x000D_
CORRECTIVE ACTION:_x000D_
_x000D_
SENDING 25X PROPANE REGULATORS TO VENDOR FOR REPAIR_x000D_
PN: 820003-NSTD_x000D_
_x000D_
VDR - AIRGAS, ENTERPRISE, AL"
30,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,"Ft Rucker, AL",6964335,REPAIR OF NSTD REGULATOR - PN:  820004-NSTD,Corrective Maintenance,Corrective COR,REPRCKRNSTD,"Fort Rucker, AL NSTD Repair Location",2015-07-29 00:00:00.0000000,2015-12-28 15:29:00.0000000,152.6451,7,Not applicable to Material Items,820004-NSTD,"VALVE ASSY, OXYGEN, AIRGAS",Not required for Material items,Repaired at Bench,0,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,No parts issued from Inventory,No parts issued to workorder,No parts issued to workorder,No Parts Issued from Inventory,No Parts Issued from Inventory,Fair Wear and Tear,No Parts Issued from Inventory,1,"PLATFORM:  NSTD_x000D_
_x000D_
REC'D BAD PROPANE REGULATORS FROM SITES._x000D_
_x000D_
CORRECTIVE ACTION:_x000D_
_x000D_
SENDING 25X PROPANE REGULATORS TO VENDOR FOR REPAIR_x000D_
PN: 820004-NSTD_x000D_
_x000D_
VDR - AIRGAS, ENTERPRISE, AL"
31,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6969174,ISSUE NSTD PARTS TO FORT LWOOD,Exercise/Operational Support,Operational Support,NSTD-LWOOD,Ft Leonard Wood,2015-07-31 09:09:00.0000000,2015-07-31 10:09:00.0000000,0.0416,7,Not required for this type of Work Order,367-8430-0971-503,"LAMP, DIALIGHT",Not required for this type of Work Order,Pulled from Storeroom,50,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,367-8430-0971-503,"LAMP, DIALIGHT",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT LWOOD
32,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6988739,ISSUE NSTD PARTS TO FORT RILEY,Exercise/Operational Support,Operational Support,NSTD-RILEY,Ft. Riley,2015-08-11 09:43:55.0000000,2015-08-11 10:13:00.0000000,0.0208,7,Not required for this type of Work Order,814000,"CABLE AY., IGNITION",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,814000,"CABLE AY., IGNITION",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT RILEY.
33,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6988748,ISSUE NSTD PARTS TO FORT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-08-10 12:00:00.0000000,2015-08-11 12:30:00.0000000,1.0208,7,Not required for this type of Work Order,695994B-3-NSTD,"BOARD, TIMING AND CONTROL, IEI",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,695994B-3-NSTD,"BOARD, TIMING AND CONTROL, IEI",Serial Number Unknown,REPAIRABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT MCCOY.
34,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6988748,ISSUE NSTD PARTS TO FORT MCCOY,Exercise/Operational Support,Operational Support,NSTD-MCCO,Ft. McCoy,2015-08-10 12:00:00.0000000,2015-08-11 12:30:00.0000000,1.0208,7,Not required for this type of Work Order,696068B,"CABLE AY, AC POWER",Not required for this type of Work Order,Pulled from Storeroom,3,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696068B,"CABLE AY, AC POWER",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT MCCOY.
